Date,Close/Last,Volume,Open,High,Low
06/04/2025,$332.05,98912080,$345.095,$345.60,$327.3308
06/03/2025,$344.27,99324540,$346.595,$355.40,$343.04
06/02/2025,$342.69,81873830,$343.50,$348.02,$333.33
05/30/2025,$346.46,123474900,$355.52,$363.68,$345.29
05/29/2025,$358.43,88545670,$365.29,$367.71,$356.00
05/28/2025,$356.90,91404310,$364.84,$365.00,$355.91
05/27/2025,$362.89,120146400,$347.35,$363.79,$347.32
05/23/2025,$339.34,84654820,$337.92,$343.18,$333.21
05/22/2025,$341.04,97113420,$331.90,$347.27,$331.39
05/21/2025,$334.62,102354800,$344.43,$347.35,$332.20
05/20/2025,$343.82,131715500,$347.87,$354.9899,$341.63
05/19/2025,$342.09,88869850,$336.30,$343.00,$333.37
05/16/2025,$349.98,95895670,$346.24,$351.62,$342.33
05/15/2025,$342.82,97882600,$340.34,$346.1393,$334.7153
05/14/2025,$347.68,136997300,$342.50,$350.00,$337.00
05/13/2025,$334.07,136992600,$320.00,$337.5894,$316.80
05/12/2025,$318.38,112826700,$321.99,$322.21,$311.50
05/09/2025,$298.26,132387800,$290.21,$307.04,$290.00
05/08/2025,$284.82,97539450,$279.63,$289.80,$279.41
05/07/2025,$276.22,71882410,$276.88,$277.92,$271.00
05/06/2025,$275.35,76715790,$273.105,$277.73,$271.35
05/05/2025,$280.26,94618880,$284.57,$284.849,$274.40
05/02/2025,$287.21,114454700,$284.90,$294.78,$279.81
05/01/2025,$280.52,99658970,$280.01,$290.8688,$279.81
04/30/2025,$282.16,128961100,$279.90,$284.45,$270.78
04/29/2025,$292.03,108906600,$285.50,$293.32,$279.4695
04/28/2025,$285.88,151731800,$288.98,$294.86,$272.42
04/25/2025,$284.95,167560700,$261.69,$286.85,$259.63
04/24/2025,$259.51,94464200,$250.50,$259.54,$249.20
04/23/2025,$250.74,150381900,$254.86,$259.4499,$244.43
04/22/2025,$237.97,120858500,$230.96,$242.79,$229.8501
04/21/2025,$227.50,97768010,$230.26,$232.21,$222.79
04/17/2025,$241.37,83404780,$243.47,$244.34,$237.6833
04/16/2025,$241.55,112378700,$247.61,$251.97,$233.89
04/15/2025,$254.11,79594320,$249.91,$258.75,$247.54
04/14/2025,$252.35,100135200,$258.36,$261.80,$245.93
04/11/2025,$252.31,128948100,$251.84,$257.74,$241.3629
04/10/2025,$252.40,181722600,$260.00,$262.49,$239.33
04/09/2025,$272.20,219433400,$224.69,$274.69,$223.88
04/08/2025,$221.86,171603500,$245.00,$250.44,$217.80
04/07/2025,$233.29,183453800,$223.78,$252.00,$214.25
04/04/2025,$239.43,181229400,$255.38,$261.00,$236.00
04/03/2025,$267.28,136174300,$265.29,$276.30,$261.51
04/02/2025,$282.76,212787800,$254.60,$284.99,$251.27
04/01/2025,$268.46,146486900,$263.80,$277.45,$259.25
03/31/2025,$259.16,134008900,$249.31,$260.56,$243.3601
03/28/2025,$263.55,123809400,$275.575,$276.10,$260.57
03/27/2025,$273.13,162572100,$272.48,$291.85,$271.8216
03/26/2025,$272.06,156254400,$282.66,$284.90,$266.51
03/25/2025,$288.14,150361500,$283.60,$288.20,$271.28
