Date,Close/Last,Volume,Open,High,Low
03/20/2025,$165.05,19981510,$163.825,$167.03,$163.14
03/19/2025,$166.28,24955720,$163.915,$168.1334,$163.05
03/18/2025,$162.67,24616780,$165.96,$166.44,$158.80
03/17/2025,$166.57,17839140,$167.325,$168.46,$165.81
03/14/2025,$167.62,18611090,$165.315,$168.25,$164.51
03/13/2025,$164.73,15206170,$167.98,$168.12,$164.07
03/12/2025,$169.00,19880060,$168.47,$169.53,$165.48
03/11/2025,$165.98,23705900,$166.68,$168.655,$163.24
03/10/2025,$167.81,28990720,$170.16,$170.45,$165.565
03/07/2025,$175.75,16395290,$173.242,$176.90,$172.25
03/06/2025,$174.21,19082400,$172.55,$176.73,$172.508
03/05/2025,$174.99,18848040,$172.32,$175.75,$170.93
03/04/2025,$172.61,30711410,$167.94,$175.165,$167.54
03/03/2025,$168.66,24121990,$173.73,$175.00,$167.64
02/28/2025,$172.22,30049810,$170.30,$172.50,$168.39
02/27/2025,$170.21,25930530,$175.94,$176.59,$169.752
02/26/2025,$174.70,23693250,$176.945,$178.08,$173.59
02/25/2025,$177.37,20832490,$180.155,$180.76,$176.77
02/24/2025,$181.19,18734010,$183.80,$185.09,$180.88
02/21/2025,$181.58,19520780,$187.29,$187.47,$181.13
02/20/2025,$186.64,12063810,$186.50,$187.12,$184.60
02/19/2025,$187.13,13120470,$186.185,$187.36,$185.50
02/18/2025,$185.80,19796030,$187.44,$187.78,$183.58
02/14/2025,$186.87,12714150,$186.83,$188.15,$186.11
02/13/2025,$187.88,12729330,$185.93,$187.99,$184.88
02/12/2025,$185.43,17632310,$185.23,$186.83,$183.63
02/11/2025,$187.07,13028100,$186.835,$188.80,$186.08
02/10/2025,$188.20,16606020,$189.06,$189.99,$187.61
02/07/2025,$187.14,29565720,$192.74,$193.015,$185.10
02/06/2025,$193.31,20816590,$190.99,$193.83,$190.49
02/05/2025,$193.30,43719590,$193.10,$194.5499,$189.91
02/04/2025,$207.71,28285440,$204.50,$208.70,$204.26
02/03/2025,$202.64,16719470,$202.215,$205.22,$201.66
01/31/2025,$205.60,17087340,$203.715,$207.08,$203.58
01/30/2025,$202.63,14571480,$199.76,$203.2384,$199.4717
01/29/2025,$197.18,12287820,$197.37,$198.4595,$195.19
01/28/2025,$197.07,15939160,$194.65,$197.23,$192.61
01/27/2025,$193.77,24970170,$194.19,$198.67,$192.70
01/24/2025,$201.90,12732380,$199.85,$202.57,$199.7842
01/23/2025,$199.58,15170840,$199.98,$201.94,$196.82
01/22/2025,$200.03,15477380,$200.55,$202.12,$199.20
01/21/2025,$199.63,19005230,$200.51,$203.84,$199.44
01/17/2025,$197.55,22109130,$198.05,$198.81,$195.31
01/16/2025,$194.41,13449580,$195.825,$196.9799,$194.30
01/15/2025,$196.98,12894880,$194.35,$197.80,$193.33
01/14/2025,$191.05,13651180,$192.50,$193.27,$189.64
01/13/2025,$192.29,13169060,$191.35,$192.49,$188.66
01/10/2025,$193.17,20753790,$195.42,$197.62,$191.60
01/08/2025,$195.39,14335340,$193.95,$197.64,$193.75
01/07/2025,$196.71,16966760,$198.27,$202.14,$195.94
01/06/2025,$197.96,19483320,$195.15,$199.56,$195.06
01/03/2025,$193.13,12874960,$192.725,$194.50,$191.35
01/02/2025,$190.63,17545160,$191.485,$193.20,$188.71
12/31/2024,$190.44,14355220,$192.445,$193.25,$189.58
12/30/2024,$192.69,12209530,$190.865,$193.78,$190.36
12/27/2024,$194.04,14692990,$196.47,$196.80,$191.972
12/26/2024,$197.10,7918434,$196.74,$198.16,$195.87
12/24/2024,$197.57,6809823,$196.17,$197.67,$195.1979
12/23/2024,$195.99,15235940,$194.03,$196.49,$191.63
12/20/2024,$192.96,45319700,$187.01,$194.1354,$186.37
12/19/2024,$189.70,26981200,$193.28,$194.60,$189.52
12/18/2024,$190.15,27638420,$196.83,$198.6899,$189.28
12/17/2024,$197.12,24129480,$198.53,$202.88,$196.69
12/16/2024,$198.16,32248640,$194.365,$200.64,$194.11
12/13/2024,$191.38,18883220,$192.71,$194.34,$191.26
12/12/2024,$193.63,25197760,$196.30,$196.7053,$193.28
12/11/2024,$196.71,41664490,$186.70,$196.89,$186.26
12/10/2024,$186.53,34317440,$184.535,$188.03,$182.67
12/09/2024,$177.10,19887790,$175.715,$178.04,$175.40
12/06/2024,$176.49,13319550,$173.88,$176.8389,$173.55
12/05/2024,$174.31,16145520,$177.32,$177.71,$174.01
12/04/2024,$176.09,18239840,$172.78,$176.43,$172.75
12/03/2024,$173.02,15721480,$173.12,$174.32,$172.51
12/02/2024,$172.98,16593440,$170.32,$173.60,$170.27
11/29/2024,$170.49,9250712,$170.06,$170.87,$168.75
11/27/2024,$170.82,12433370,$170.68,$171.14,$169.67
11/26/2024,$170.62,14937480,$169.49,$171.495,$169.43
11/25/2024,$169.43,21395650,$167.99,$170.46,$167.40
11/22/2024,$166.57,24497040,$167.16,$168.2645,$165.71
11/21/2024,$169.24,38839430,$175.455,$175.58,$165.31
11/20/2024,$177.33,15729810,$178.83,$179.11,$175.33
11/19/2024,$179.58,15392870,$175.235,$180.17,$175.116
11/18/2024,$176.80,18725420,$174.955,$176.91,$174.42
11/15/2024,$173.89,21708870,$175.64,$175.88,$172.745
11/14/2024,$177.35,17925760,$179.75,$180.445,$176.03
11/13/2024,$180.49,13969710,$182.15,$182.615,$180.12
11/12/2024,$183.32,14065850,$181.38,$184.025,$180.99
11/11/2024,$181.97,12503420,$180.07,$182.085,$179.99
11/08/2024,$179.86,15021550,$182.00,$182.35,$179.57
11/07/2024,$182.28,16730410,$179.11,$182.58,$178.89
11/06/2024,$178.33,27061510,$175.35,$178.64,$175.04
11/05/2024,$171.41,12518280,$170.83,$172.0973,$170.37
11/04/2024,$170.68,16193990,$171.24,$171.92,$169.485
11/01/2024,$172.65,21752860,$171.54,$173.82,$170.31
10/31/2024,$172.69,32801900,$174.72,$178.42,$172.56
10/30/2024,$176.14,49698310,$182.41,$183.79,$175.7451
10/29/2024,$171.14,28916110,$169.385,$171.86,$168.66
10/28/2024,$168.34,20858250,$170.59,$170.606,$165.79
10/25/2024,$166.99,14566410,$165.365,$167.40,$165.23
10/24/2024,$164.53,12764430,$164.59,$165.05,$162.77
10/23/2024,$164.48,12754280,$166.43,$167.60,$163.6325
10/22/2024,$166.82,11958620,$164.70,$167.47,$164.67
10/21/2024,$165.80,11384050,$164.58,$166.22,$164.305
10/18/2024,$165.05,13091270,$164.87,$166.3699,$164.75
10/17/2024,$164.51,15113360,$167.38,$167.93,$164.37
10/16/2024,$166.74,9968474,$166.03,$167.28,$165.216
10/15/2024,$166.90,14829340,$167.14,$169.09,$166.05
10/14/2024,$166.35,9981765,$164.91,$167.62,$164.78
10/11/2024,$164.52,10945970,$163.33,$165.27,$162.50
10/10/2024,$163.18,12900490,$162.11,$164.3107,$161.64
10/09/2024,$163.06,19666410,$164.855,$166.26,$161.12
10/08/2024,$165.70,11723890,$165.43,$166.10,$164.31
10/07/2024,$164.39,14034720,$169.14,$169.90,$164.13
10/04/2024,$168.56,11435320,$169.34,$169.55,$166.96
10/03/2024,$167.21,11004330,$165.82,$167.91,$165.37
10/02/2024,$167.31,12744980,$167.76,$168.88,$166.25
10/01/2024,$168.42,18629510,$168.86,$170.44,$165.90
09/30/2024,$167.19,14083450,$164.78,$167.36,$164.64
09/27/2024,$165.29,13604260,$163.91,$166.97,$163.83
09/26/2024,$163.83,18234500,$165.03,$165.50,$163.50
09/25/2024,$162.99,13607890,$162.97,$164.217,$162.775
09/24/2024,$163.64,18774060,$164.25,$164.55,$162.03
09/23/2024,$163.07,15648450,$165.34,$166.61,$162.95
09/20/2024,$164.64,46362670,$164.52,$164.75,$163.18
09/19/2024,$163.24,17548190,$164.82,$164.99,$162.5216
09/18/2024,$160.81,16756450,$160.85,$161.63,$159.66
09/17/2024,$160.28,12064790,$160.09,$161.59,$159.41
09/16/2024,$158.99,14157610,$158.33,$159.24,$157.61
09/13/2024,$158.37,16733910,$156.362,$159.275,$156.11
09/12/2024,$155.54,21024060,$154.81,$155.61,$153.50
09/11/2024,$152.15,18991490,$151.09,$152.48,$148.70
09/10/2024,$150.01,20401770,$151.45,$152.30,$149.5427
09/09/2024,$149.54,28057750,$153.63,$154.64,$148.20
09/06/2024,$152.13,24999060,$158.69,$159.22,$151.935
09/05/2024,$158.60,14139500,$157.78,$161.015,$157.52
09/04/2024,$157.81,17410650,$158.075,$160.40,$157.44
09/03/2024,$158.61,26533110,$163.315,$163.38,$157.855
08/30/2024,$165.11,18498780,$164.22,$165.28,$163.41
08/29/2024,$163.40,17133830,$166.06,$167.63,$161.982
08/28/2024,$164.50,15208740,$166.78,$167.39,$163.28
08/27/2024,$166.38,13718160,$167.61,$168.245,$166.16
08/26/2024,$167.93,11990310,$168.155,$169.38,$166.32
08/23/2024,$167.43,14281620,$166.55,$167.95,$165.66
08/22/2024,$165.49,19123780,$169.04,$169.42,$165.03
08/21/2024,$167.63,15269550,$166.99,$168.64,$166.57
08/20/2024,$168.96,12622520,$168.74,$170.41,$168.66
08/19/2024,$168.40,13100760,$167.00,$168.47,$166.09
08/16/2024,$164.74,16853140,$163.41,$166.95,$163.08
08/15/2024,$163.17,18392450,$162.21,$163.52,$161.49
08/14/2024,$162.03,22515900,$164.21,$164.96,$159.53
08/13/2024,$165.93,12717630,$165.185,$166.54,$164.77
08/12/2024,$163.95,12434970,$165.995,$166.70,$163.55
08/09/2024,$165.39,13549230,$161.645,$165.52,$160.93
08/08/2024,$163.84,15733610,$162.344,$165.50,$162.03
08/07/2024,$160.75,19334250,$163.24,$164.79,$160.24
08/06/2024,$160.54,36146540,$160.945,$162.35,$158.13
08/05/2024,$160.64,34907820,$157.37,$165.94,$156.60
08/02/2024,$168.40,18907770,$168.19,$170.21,$166.39
08/01/2024,$172.45,17177830,$171.98,$175.68,$170.51
07/31/2024,$173.15,15650150,$174.92,$175.91,$171.72
07/30/2024,$171.86,13681420,$171.83,$172.95,$170.12
07/29/2024,$171.13,13768930,$170.50,$172.16,$169.72
07/26/2024,$168.68,25150120,$168.77,$169.84,$165.865
07/25/2024,$169.16,28967880,$174.25,$175.20,$169.05
07/24/2024,$174.37,31250680,$175.39,$177.95,$173.57
07/23/2024,$183.60,23772600,$183.84,$185.22,$183.33
07/22/2024,$183.35,16303900,$182.35,$184.30,$181.90
07/19/2024,$179.39,14485900,$180.37,$181.97,$178.86
07/18/2024,$179.22,17877200,$183.54,$184.05,$178.21
07/17/2024,$182.62,17376560,$184.68,$185.23,$181.62
07/16/2024,$185.50,12760100,$188.96,$190.34,$185.12
07/15/2024,$188.19,12186020,$186.49,$189.90,$186.49
07/12/2024,$186.78,14449110,$186.92,$188.69,$186.14
07/11/2024,$187.30,16451980,$191.34,$192.41,$186.82
07/10/2024,$192.66,12052910,$190.75,$193.31,$190.62
07/09/2024,$190.44,10224930,$191.75,$192.86,$190.23
07/08/2024,$190.48,12097610,$191.365,$191.6791,$189.32
07/05/2024,$191.96,14303360,$187.32,$192.26,$187.32
07/03/2024,$187.39,7409106,$186.30,$187.62,$185.385
07/02/2024,$186.61,12555550,$183.47,$186.95,$183.06
07/01/2024,$184.49,11815860,$184.48,$185.34,$182.73
06/28/2024,$183.42,23032360,$185.72,$186.58,$183.325
06/27/2024,$186.86,13025660,$185.645,$187.50,$185.45
06/26/2024,$185.37,13375720,$184.20,$185.93,$183.99
06/25/2024,$185.58,18917730,$181.145,$185.75,$181.105
06/24/2024,$180.79,18198280,$181.28,$182.08,$180.23
06/21/2024,$180.26,59728020,$178.49,$182.5117,$178.06
06/20/2024,$177.71,16753170,$176.71,$178.74,$176.46
06/18/2024,$176.45,15640260,$178.79,$178.91,$175.62
06/17/2024,$178.78,15272860,$176.98,$179.92,$176.49
