Date,Close/Last,Volume,Open,High,Low
04/09/2025,$160.82,16775250,$138.845,$162.43,$137.9431
04/08/2025,$139.39,14527900,$146.85,$147.77,$137.40
04/07/2025,$138.86,18825030,$132.05,$143.9722,$128.8801
04/04/2025,$136.59,22281990,$143.30,$146.00,$132.79
04/03/2025,$150.91,15877380,$160.00,$160.21,$150.41
04/02/2025,$168.56,5826557,$166.40,$170.38,$165.55
04/01/2025,$168.17,8252833,$170.00,$170.975,$164.2191
03/31/2025,$170.55,7477456,$170.65,$172.2099,$166.792
03/28/2025,$173.31,8211108,$177.75,$178.50,$172.45
03/27/2025,$179.11,4788639,$178.53,$182.22,$178.0334
03/26/2025,$178.55,6633607,$182.525,$183.2278,$177.28
03/25/2025,$182.59,7174436,$182.16,$183.85,$180.36
03/24/2025,$180.90,9986066,$182.03,$184.40,$180.4411
03/21/2025,$178.11,26802360,$172.06,$183.46,$170.77
03/20/2025,$172.83,4934361,$171.14,$173.10,$170.31
03/19/2025,$172.62,14114840,$165.32,$174.20,$165.00
03/18/2025,$161.57,4195165,$161.44,$162.23,$158.79
03/17/2025,$161.85,5602688,$160.50,$162.77,$159.6235
03/14/2025,$161.81,5215140,$160.915,$162.32,$159.2001
03/13/2025,$159.32,5701556,$159.22,$161.74,$157.25
03/12/2025,$158.80,8706890,$157.00,$159.54,$153.6113
03/11/2025,$154.06,10030550,$148.00,$155.01,$145.45
03/10/2025,$148.15,10203960,$150.03,$150.39,$146.30
03/07/2025,$154.18,12526700,$157.19,$158.36,$149.05
03/06/2025,$158.43,6892570,$161.42,$162.69,$157.94
03/05/2025,$163.16,7355750,$159.96,$164.33,$158.81
03/04/2025,$158.90,15870220,$167.37,$168.38,$156.69
03/03/2025,$170.06,6045578,$177.02,$178.40,$169.46
02/28/2025,$174.63,5803347,$174.36,$176.30,$173.4811
02/27/2025,$173.83,4695248,$174.52,$177.15,$173.59
02/26/2025,$173.04,7111736,$179.49,$179.49,$171.83
