Date,Close/Last,Volume,Open,High,Low
03/03/2025,$388.49,23007730,$398.82,$398.82,$386.155
02/28/2025,$396.99,32845660,$392.655,$397.63,$386.57
02/27/2025,$392.53,21127410,$401.265,$405.74,$392.17
02/26/2025,$399.73,19618950,$398.01,$403.60,$394.245
02/25/2025,$397.90,29387400,$401.10,$401.915,$396.70
02/24/2025,$404.00,26443660,$408.51,$409.37,$399.32
02/21/2025,$408.21,27524800,$417.335,$418.048,$407.89
02/20/2025,$416.13,23508730,$415.29,$419.31,$412.54
02/19/2025,$414.77,24114200,$407.88,$415.49,$407.65
02/18/2025,$409.64,21423050,$408.00,$410.597,$406.50
02/14/2025,$408.43,22758460,$407.79,$408.91,$405.88
02/13/2025,$410.54,23891730,$407.00,$411.00,$406.36
02/12/2025,$409.04,19121730,$407.21,$410.75,$404.3673
02/11/2025,$411.44,18140590,$409.64,$412.49,$409.30
02/10/2025,$412.22,20817920,$413.71,$415.4624,$410.92
02/07/2025,$409.75,22886840,$416.48,$418.65,$408.10
02/06/2025,$415.82,16309760,$414.00,$418.20,$414.00
02/05/2025,$413.29,16336190,$412.35,$413.827,$410.40
02/04/2025,$412.37,20532100,$412.685,$413.9199,$409.74
02/03/2025,$410.92,25679150,$411.60,$415.41,$408.66
01/31/2025,$415.06,34223390,$418.98,$420.69,$414.91
01/30/2025,$414.99,54586260,$418.77,$422.86,$413.16
01/29/2025,$442.33,23581370,$446.69,$446.88,$440.40
01/28/2025,$447.20,23491700,$434.60,$448.38,$431.38
01/27/2025,$434.56,35647810,$424.01,$435.20,$423.50
01/24/2025,$444.06,15549450,$445.16,$446.65,$441.40
01/23/2025,$446.71,18389270,$442.00,$446.75,$441.5048
01/22/2025,$446.20,27803810,$437.56,$447.27,$436.00
01/21/2025,$428.50,26085700,$430.20,$430.8999,$425.595
01/17/2025,$429.03,26197510,$434.085,$434.48,$428.17
01/16/2025,$424.58,15300020,$428.695,$429.49,$424.39
01/15/2025,$426.31,19637840,$419.13,$428.15,$418.265
01/14/2025,$415.67,16935860,$417.81,$419.74,$410.72
01/13/2025,$417.19,17604780,$415.235,$418.50,$412.29
01/10/2025,$418.95,20201130,$424.63,$424.71,$415.02
01/08/2025,$424.56,15054580,$423.46,$426.97,$421.54
01/07/2025,$422.37,18139070,$429.00,$430.65,$420.80
01/06/2025,$427.85,20573650,$428.00,$434.32,$425.4774
01/03/2025,$423.35,16662940,$421.08,$424.03,$419.54
01/02/2025,$418.58,16896470,$425.53,$426.07,$414.85
12/31/2024,$421.50,13246510,$426.10,$426.73,$420.66
12/30/2024,$424.83,13158700,$426.06,$427.55,$421.90
12/27/2024,$430.53,18117710,$434.60,$435.22,$426.35
12/26/2024,$438.11,8199927,$439.08,$440.94,$436.63
12/24/2024,$439.33,7164543,$434.65,$439.60,$434.19
12/23/2024,$435.25,19152520,$436.74,$437.65,$432.83
12/20/2024,$436.60,64263690,$433.11,$443.74,$428.63
12/19/2024,$437.03,22963680,$441.62,$443.1834,$436.32
12/18/2024,$437.39,24444550,$451.32,$452.65,$437.02
12/17/2024,$454.46,22733490,$451.01,$455.29,$449.57
12/16/2024,$451.59,23598830,$447.27,$452.18,$445.28
12/13/2024,$447.27,20177830,$448.435,$451.43,$445.58
12/12/2024,$449.56,20834780,$449.11,$456.1648,$449.11
12/11/2024,$448.99,19200210,$444.05,$450.35,$444.05
12/10/2024,$443.33,18469460,$444.39,$449.62,$441.60
